"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TC-02: Validate Title field and Publish button state","firefox","Thu May 28 11:34:31 UTC 2026","failed","Thu May 28 11:34:31 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","has title","firefox","Thu May 28 11:34:37 UTC 2026","failed","Thu May 28 11:34:37 UTC 2026","","example.spec.ts","",""
"","2","TC-05: Validate Main Text field limits","chromium","Thu May 28 11:34:25 UTC 2026","failed","Thu May 28 11:34:25 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-08: Verify Preview mode","chromium","Thu May 28 11:34:27 UTC 2026","failed","Thu May 28 11:34:27 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","get started link","webkit","Thu May 28 11:34:45 UTC 2026","failed","Thu May 28 11:34:45 UTC 2026","","example.spec.ts","",""
"","2","TC-09: Verify Edit news button visibility (only for author)","webkit","Thu May 28 11:34:43 UTC 2026","failed","Thu May 28 11:34:43 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-07: Cancel news creation","chromium","Thu May 28 11:34:26 UTC 2026","failed","Thu May 28 11:34:26 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-06: Validate Source field","chromium","Thu May 28 11:34:25 UTC 2026","failed","Thu May 28 11:34:25 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-01: Verify all required fields are displayed","firefox","Thu May 28 11:34:30 UTC 2026","failed","Thu May 28 11:34:30 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-10: Verify editing own news","webkit","Thu May 28 11:34:44 UTC 2026","failed","Thu May 28 11:34:44 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-05: Validate Main Text field limits","firefox","Thu May 28 11:34:33 UTC 2026","failed","Thu May 28 11:34:33 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","get started link","firefox","Thu May 28 11:34:37 UTC 2026","failed","Thu May 28 11:34:37 UTC 2026","","example.spec.ts","",""
"","2","TC-08: Verify Preview mode","firefox","Thu May 28 11:34:35 UTC 2026","failed","Thu May 28 11:34:35 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-02: Validate Title field and Publish button state","webkit","Thu May 28 11:34:39 UTC 2026","failed","Thu May 28 11:34:39 UTC 2026","Create Eco News","eco-news.spec.ts","",""
